username;tg_url;name;description;subscribers;tgstat_url;peer_type
theyseeku;https://t.me/s/theyseeku;Finder.work: работа и вакансии;В этом канале публикуем лучшую удалёнку страны.;294179;https://tgstat.ru/channel/@theyseeku;channel
hmoffice;https://t.me/s/hmoffice;ХОУМ • Удалённая работа • Фриланс;ТОП 1 канал с вакансиями на Удалёнку.;260529;https://tgstat.ru/channel/@hmoffice;channel
BusinesProjects;https://t.me/s/BusinesProjects;Бизнес Проект;Лучшие бизнес-практики из мира финансов и стартапов — в одном месте;171345;https://tgstat.ru/channel/@BusinesProjects;channel
vacanciesbest;https://t.me/s/vacanciesbest;Лучшие вакансии;Лучшие вакансии, отобранные командой аналитиков. Мы ставим только те вакансии, которые нам интересны. Если у вас есть такая, присылайте на vac@facancy.ru;158147;https://tgstat.ru/channel/@vacanciesbest;channel
Founder_Startup;https://t.me/s/Founder_Startup;Фаундер | Бизнес и стартапы;Создайте своё финансовое будущее: уверенные шаги к успеху и стабильности!;149375;https://tgstat.ru/channel/@Founder_Startup;channel
careerspace;https://t.me/s/careerspace;careerspace;Помогли 5140+ людям найти любимую работу в формате онлайн-чата;147943;https://tgstat.ru/channel/@careerspace;channel
careersber;https://t.me/s/careersber;Карьера в Сбере!;На связи команда Сбера! Собрали всё о карьере и жизни в зелёном банке:;145029;https://tgstat.ru/channel/@careersber;channel
horseatwork;https://t.me/s/horseatwork;КОНЬ НА РАБОТЕ;Только самое интересное из мира вакансий.;139144;https://tgstat.ru/channel/@horseatwork;channel
zapwork;https://t.me/s/zapwork;Удалёнщики | удаленная работа;Найди работу своей мечты и работай не выходя из дому.;128555;https://tgstat.ru/channel/@zapwork;channel
BusinessAtmosphere;https://t.me/s/BusinessAtmosphere;Бизнес Атмосфера;Пространство, где предприниматели, бизнесмены и будущие лидеры черпают инсайты и прокачивают бизнес;124378;https://tgstat.ru/channel/@BusinessAtmosphere;channel
evacuatejobs;https://t.me/s/evacuatejobs;Remocate: релокация, удалёнка, работа и вакансии;Разместить вакансию: https://www.remocate.pro/postajob;121191;https://tgstat.ru/channel/@evacuatejobs;channel
normrabota;https://t.me/s/normrabota;Норм работа;Понятные вакансии в digital;114584;https://tgstat.ru/channel/@normrabota;channel
budujobs;https://t.me/s/budujobs;БУДУ;Помогаем строить здоровые отношения с работой;111215;https://tgstat.ru/channel/@budujobs;channel
hh_ru_official;https://t.me/s/hh_ru_official;hh.ru;№ 4954304203;93731;https://tgstat.ru/channel/@hh_ru_official;channel
work_finde;https://t.me/s/work_finde;Work | Диджитал удаленные вакансии;Здесь собраны лучшие вакансии в диджитал, ИТ, маркетинге и др.;89352;https://tgstat.ru/channel/@work_finde;channel
dddwork;https://t.me/s/dddwork;Работа в медиа;Вакансии в медиасфере, СМИ и digital.;88448;https://tgstat.ru/channel/@dddwork;channel
dnative_job;https://t.me/s/dnative_job;Вакансии SMM и Digital;Публикация вакансий в канале платная  https://t.me/dnative_job/3375;87382;https://tgstat.ru/channel/@dnative_job;channel
workk_on;https://t.me/s/workk_on;WORK ON;Подписывайся и будь в курсе самых свежих вакансий проектного типа;80185;https://tgstat.ru/channel/@workk_on;channel
it_vakansii_jobs;https://t.me/s/it_vakansii_jobs;СЕТИ — IT & Digital вакансии;Ежедневные подборки вакансий c прямыми контактами HR;79436;https://tgstat.ru/channel/@it_vakansii_jobs;channel
